Count,Code,Description,Retail,Date,Cost,Supplier,Book,Total,Category,,,,,,,,
103,,6.8k ohm 1/4 watt,,,,,$0.02,$2.06,13,,,,,,,,
860,,6.8k ohm 1/4 watt,,,,,$0.02,$17.20,13,,,,,,,,
100,,75 ohm 1/4 watt metal,,2/06/2017,$0.02,eBay,$0.00,$0.00,13,,,,,,,,
373,,750 ohm 1/4 watt,,,,,$0.02,$7.46,13,,,,,,,,
199,,750k ohm 1/4 watt,,,,,$0.02,$3.98,13,,,,,,,,
2,,75k ohm 1/4 watt,,,,,$0.02,$0.04,13,,,,,,,,
180,,75k ohm 1/4 watt,,,,,$0.02,$3.60,13,,,,,,,,
176,,7.5k ohm 1/4 watt,,,,,$0.02,$3.52,13,,,,,,,,
692,,82 ohm 1/4 watt,,,,,$0.02,$13.84,13,,,,,,,,
869,,820 ohm 1/4 watt,,,,,$0.02,$17.38,13,,,,,,,,
10,,820k ohm 1/4 watt,,,,,$0.02,$0.20,13,,,,,,,,
67,,82k ohm 1/4 watt,,,,,$0.02,$1.34,13,,,,,,,,
23,,82k ohm 1/4 watt metal,,,,,$0.02,$0.46,13,,,,,,,,
74,,8.2k ohm 1/4 watt,,,,,$0.02,$1.48,13,,,,,,,,
879,,8.2k ohm 1/4 watt,,,,,$0.02,$17.58,13,,,,,,,,
72,,8.2m ohm 1/4 watt,,,,,$0.02,$1.44,13,,,,,,,,
1,,.1 ohm 5 watt,,,,Elcoma,$0.47,$0.47,14,,,,,,,,
20,,20 ohm 2W metal,,1/07/2019,$0.10,eBay,$0.00,$0.00,14,,,,,,,,
0,,1k 1/2 watt - bulk older - see IC containers,,,,,$0.00,$0.00,14,,,,,,,,
10,,200 ohm 3W carbon,,1/07/2019,$0.11,eBay,$0.00,$0.00,14,,,,,,,,
36,,.27 ohm 1 watt,,,,,$0.35,$12.60,14,,,,,,,,
25,,.47 ohm 5 watt,,,,,$0.35,$8.75,14,,,,,,,,
10,,.68 ohm 5 watt,,,,,$0.35,$3.50,14,,,,,,,,
2,,.68 ohm 4 watt,,,,,$0.35,$0.70,14,,,,,,,,
19,,20 ohm 3W metal,,1/07/2019,$0.10,eBay,$0.00,$0.00,14,,,,,,,,
5,,.75 ohm 1 watt,,,,,$0.17,$0.85,14,,,,,,,,
,,10 ohm 1/2 watt - old - see drawer,,,,,$0.00,$0.00,14,,,,,,,,
11,,10 ohm 2 watt,,,,,$0.35,$3.85,14,,,,,,,,
26,,100k 3W metal,$0.55,6/08/2016,$0.09,eBay,$0.00,$0.00,14,,,,,,,,
1,,10 ohm 1 watt,,,,,$0.17,$0.17,14,,,,,,,,
88,,10 ohm 1/2 watt,,,,,$0.06,$5.28,14,,,,,,,,
31,,100 ohm 1W metal,$0.40,31/08/2016,$0.04,eBay,$0.00,$0.00,14,,,,,,,,
3,,100k ohm 2 watt metal,,,,TDON,$0.65,$1.95,14,,,,,,,,
5,,100k ohm 1/2 watt metal,,,,,$0.16,$0.80,14,,,,,,,,
16,,10k ohm 1/2 watt,,,,,$0.06,$0.96,14,,,,,,,,
4,,10k ohm 1 watt,,,,,$0.17,$0.68,14,,,,,,,,
2,,10k ohm 7 watt,,,,,$0.65,$1.30,14,,,,,,,,
6,,10m ohm 1/2 watt,,,,,$0.06,$0.36,14,,,,,,,,
